Country,Admin1,Event month,Sub-Event Type,Fatalities
Lebanon,Al Nabatieh,2023-10-01,Air/drone strike,21
Lebanon,Al Nabatieh,2023-10-01,Armed clash,0
Lebanon,Al Nabatieh,2023-10-01,Attack,3
Lebanon,Al Nabatieh,2023-10-01,Shelling/artillery/missile attack,22
Lebanon,Al Nabatieh,2023-10-01,Remote explosive/landmine/IED,0
Lebanon,South,2023-10-01,Air/drone strike,5
Lebanon,South,2023-10-01,Armed clash,3
Lebanon,South,2023-10-01,Attack,0
Lebanon,South,2023-10-01,Shelling/artillery/missile attack,5
Lebanon,South,2023-10-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2023-10-01,Air/drone strike,0
Lebanon,Mount Lebanon,2023-10-01,Armed clash,0
Lebanon,Mount Lebanon,2023-10-01,Attack,0
Lebanon,Mount Lebanon,2023-10-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2023-10-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2023-10-01,Air/drone strike,0
Lebanon,Baalbek-Hermel,2023-10-01,Armed clash,0
Lebanon,Baalbek-Hermel,2023-10-01,Attack,0
Lebanon,Baalbek-Hermel,2023-10-01,Shelling/artillery/missile attack,0
Lebanon,Baalbek-Hermel,2023-10-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2023-10-01,Air/drone strike,0
Lebanon,Bekaa,2023-10-01,Armed clash,0
Lebanon,Bekaa,2023-10-01,Attack,0
Lebanon,Bekaa,2023-10-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2023-10-01,Remote explosive/landmine/IED,0
Lebanon,North,2023-10-01,Air/drone strike,0
Lebanon,North,2023-10-01,Armed clash,0
Lebanon,North,2023-10-01,Attack,0
Lebanon,North,2023-10-01,Shelling/artillery/missile attack,0
Lebanon,North,2023-10-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2023-10-01,Air/drone strike,0
Lebanon,Beirut,2023-10-01,Armed clash,0
Lebanon,Beirut,2023-10-01,Attack,0
Lebanon,Beirut,2023-10-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2023-10-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2023-10-01,Air/drone strike,0
Lebanon,Akkar,2023-10-01,Armed clash,0
Lebanon,Akkar,2023-10-01,Attack,0
